1	3	0.00
1	5	0.00
1	6	0.00
1	8	0.00
1	9	0.00
1	10	0.00
1	12	0.00
1	13	0.00
1	15	0.00
1	17	0.00
1	19	0.00
1	20	0.00
1	21	0.00
1	23	0.00
1	24	0.00
1	29	0.00
1	30	0.00
1	33	0.00
1	34	0.00
1	35	0.00
1	36	0.00
1	38	0.00
1	40	0.00
2	4	0.00
2	8	0.00
2	10	0.00
2	14	0.00
2	16	0.00
2	19	0.00
2	26	0.00
2	28	0.00
2	29	0.00
2	30	0.00
2	33	0.00
2	38	0.00
2	39	0.00
2	40	0.00
3	1	0.00
3	6	0.00
3	8	0.00
3	9	0.00
3	13	0.00
3	15	0.00
3	19	0.00
3	20	0.00
3	21	0.00
3	23	0.00
3	29	0.00
3	30	0.00
3	33	0.00
3	39	0.00
3	40	0.00
4	2	0.00
4	5	0.00
4	7	0.00
4	8	0.00
4	10	0.00
4	11	0.00
4	12	0.00
4	14	0.00
4	17	0.00
4	18	0.00
4	19	0.00
4	22	0.00
4	25	0.00
4	26	0.00
4	27	0.00
4	28	0.00
4	29	0.00
4	31	0.00
4	32	0.00
4	34	0.00
4	35	0.00
4	36	0.00
4	37	0.00
4	38	0.00
4	39	0.00
4	40	0.00
5	1	0.00
5	4	0.00
5	7	0.00
5	8	0.00
5	10	0.00
5	11	0.00
5	12	0.00
5	15	0.00
5	17	0.00
5	18	0.00
5	19	0.00
5	22	0.00
5	24	0.00
5	25	0.00
5	27	0.00
5	28	0.00
5	31	0.00
5	32	0.00
5	34	0.00
5	35	0.00
5	36	0.00
5	37	0.00
5	38	0.00
5	40	0.00
6	1	0.00
6	3	0.00
6	8	0.00
6	9	0.00
6	12	0.00
6	15	0.00
6	17	0.00
6	19	0.00
6	20	0.00
6	23	0.00
6	24	0.00
6	34	0.00
6	35	0.00
6	36	0.00
6	38	0.00
7	4	0.00
7	5	0.00
7	10	0.00
7	11	0.00
7	12	0.00
7	17	0.00
7	18	0.00
7	19	0.00
7	22	0.00
7	24	0.00
7	25	0.00
7	27	0.00
7	31	0.00
7	32	0.00
7	34	0.00
7	35	0.00
7	36	0.00
7	37	0.00
7	38	0.00
8	1	0.00
8	2	0.00
8	3	0.00
8	4	0.00
8	5	0.00
8	6	0.00
8	9	0.00
8	10	0.00
8	12	0.00
8	13	0.00
8	15	0.00
8	17	0.00
8	19	0.00
8	20	0.00
8	21	0.00
8	23	0.00
8	24	0.00
8	27	0.00
8	28	0.00
8	29	0.00
8	30	0.00
8	33	0.00
8	34	0.00
8	35	0.00
8	36	0.00
8	38	0.00
8	39	0.00
8	40	0.00
9	1	0.00
9	3	0.00
9	6	0.00
9	8	0.00
9	12	0.00
9	13	0.00
9	15	0.00
9	17	0.00
9	19	0.00
9	20	0.00
9	21	0.00
9	23	0.00
9	24	0.00
9	34	0.00
9	35	0.00
9	36	0.00
9	38	0.00
10	1	0.00
10	2	0.00
10	4	0.00
10	5	0.00
10	7	0.00
10	8	0.00
10	11	0.00
10	12	0.00
10	14	0.00
10	15	0.00
10	17	0.00
10	18	0.00
10	19	0.00
10	22	0.00
10	24	0.00
10	25	0.00
10	27	0.00
10	28	0.00
10	29	0.00
10	31	0.00
10	32	0.00
10	34	0.00
10	35	0.00
10	36	0.00
10	37	0.00
10	38	0.00
10	39	0.00
10	40	0.00
11	4	0.00
11	5	0.00
11	7	0.00
11	10	0.00
11	12	0.00
11	14	0.00
11	17	0.00
11	18	0.00
11	19	0.00
11	22	0.00
11	25	0.00
11	27	0.00
11	28	0.00
11	31	0.00
11	32	0.00
11	34	0.00
11	35	0.00
11	36	0.00
11	37	0.00
11	38	0.00
11	40	0.00
12	1	0.00
12	4	0.00
12	5	0.00
12	6	0.00
12	7	0.00
12	8	0.00
12	9	0.00
12	10	0.00
12	11	0.00
12	15	0.00
12	17	0.00
12	19	0.00
12	20	0.00
12	22	0.00
12	23	0.00
12	24	0.00
12	25	0.00
