1	3	-72.35
1	7	-88.79
1	9	-88.45
1	15	-93.66
1	18	-72.65
2	3	-92.91
2	4	-87.14
2	5	-75.65
2	6	-93.91
2	7	-84.33
2	8	-89.96
2	9	-91.61
2	10	-79.97
2	11	-93.17
2	12	-77.82
2	15	-72.51
2	16	-91.07
2	17	-91.10
2	18	-92.90
2	19	-94.60
3	1	-72.35
3	2	-92.91
3	7	-83.31
3	9	-87.09
3	12	-93.04
3	15	-90.49
3	18	-28.70
4	2	-87.14
4	5	-78.62
4	6	-93.57
4	8	-90.00
4	10	-83.86
4	11	-87.77
4	12	-89.11
4	15	-90.93
4	16	-82.39
4	17	-81.01
5	2	-75.65
5	4	-78.62
5	6	-93.03
5	7	-90.25
5	8	-88.69
5	10	-76.85
5	11	-90.16
5	12	-82.06
5	15	-83.31
5	16	-86.69
5	17	-86.41
6	2	-93.91
6	4	-93.57
6	5	-93.03
6	8	-73.89
6	11	-82.48
6	14	-86.15
6	15	-93.27
6	16	-86.61
6	17	-87.90
6	19	-89.00
6	20	-91.98
7	1	-88.79
7	2	-84.33
7	3	-83.31
7	5	-90.25
7	9	-89.53
7	10	-88.76
7	12	-82.89
7	15	-82.69
7	18	-83.18
8	2	-89.96
8	4	-90.00
8	5	-88.69
8	6	-73.89
8	9	-94.41
8	10	-93.87
8	11	-80.33
8	12	-94.86
8	14	-91.19
8	15	-89.55
8	16	-82.65
8	17	-84.21
8	19	-89.39
9	1	-88.45
9	2	-91.61
9	3	-87.09
9	7	-89.53
9	8	-94.41
9	12	-94.75
9	13	-87.50
9	15	-87.24
9	18	-87.30
9	19	-86.89
10	2	-79.97
10	4	-83.86
10	5	-76.85
10	7	-88.76
10	8	-93.87
10	11	-94.70
10	12	-73.69
10	15	-86.54
10	16	-91.99
10	17	-91.61
11	2	-93.17
11	4	-87.77
11	5	-90.16
11	6	-82.48
11	8	-80.33
11	10	-94.70
11	14	-91.68
11	15	-94.04
11	16	-71.21
11	17	-74.29
12	2	-77.82
12	3	-93.04
12	4	-89.11
12	5	-82.06
12	7	-82.89
12	8	-94.86
12	9	-94.75
12	10	-73.69
12	15	-83.73
12	16	-94.50
12	17	-94.31
12	18	-92.97
13	9	-87.50
13	19	-80.86
14	6	-86.15
14	8	-91.19
14	11	-91.68
14	16	-94.71
14	19	-94.27
14	20	-76.38
15	1	-93.66
15	2	-72.51
15	3	-90.49
15	4	-90.93
15	5	-83.31
15	6	-93.27
15	7	-82.69
15	8	-89.55
15	9	-87.24
15	10	-86.54
15	11	-94.04
15	12	-83.73
15	16	-92.70
15	17	-92.92
15	18	-90.51
15	19	-91.86
16	2	-91.07
16	4	-82.39
16	5	-86.69
16	6	-86.61
16	8	-82.65
16	10	-91.99
16	11	-71.21
16	12	-94.50
16	14	-94.71
16	15	-92.70
16	17	-52.83
17	2	-91.10
17	4	-81.01
17	5	-86.41
17	6	-87.90
17	8	-84.21
17	10	-91.61
17	11	-74.29
17	12	-94.31
17	15	-92.92
17	16	-52.83
18	1	-72.65
18	2	-92.90
18	3	-28.70
18	7	-83.18
18	9	-87.30
18	12	-92.97
18	15	-90.51
19	2	-94.60
19	6	-89.00
19	8	-89.39
19	9	-86.89
19	13	-80.86
19	14	-94.27
19	15	-91.86
20	6	-91.98
20	14	-76.38
